"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.76106665812499e-89,3.56787353016087,0.969,0.135,9.45118440520229e-85,"0","Dcdc2a"
5.52610529411455e-88,3.17794908685458,0.997,0.272,1.38865499935805e-83,"0","Olfm1"
3.2974702171136e-87,3.56834006140799,0.952,0.098,8.28621290858476e-83,"0","Nrn1l"
1.4394539154475e-86,3.28515660179189,1,0.359,3.61720374412801e-82,"0","Omp"
1.52415421968032e-86,3.18602371834533,1,0.337,3.83004713863468e-82,"0","Gnal"
1.86127105115369e-86,2.72892116022587,1,0.96,4.67718802444411e-82,"0","Calm1"
1.44511800347549e-85,3.43093628175378,0.989,0.133,3.63143703093355e-81,"0","1700012B09Rik"
1.75370919484044e-85,3.26775627158107,1,0.376,4.40689583571454e-81,"0","Stoml3"
3.91113982214329e-85,3.07153644055174,1,0.304,9.82830325906388e-81,"0","Chga"
1.76338070146892e-84,3.12688341660853,1,0.397,4.43119936472126e-80,"0","Gng13"
1.84396355485753e-84,3.31819619532108,0.963,0.104,4.63369601700149e-80,"0","Umodl1"
2.65580301610044e-84,2.9379546221088,1,0.302,6.67376739915879e-80,"0","Gfy"
2.33208562860353e-83,3.33332051382316,0.971,0.109,5.86029797611781e-79,"0","Adcy3"
2.90294785369073e-83,3.23915538024235,0.928,0.126,7.29481766153945e-79,"0","Tom1"
9.47792907443465e-83,3.0189515047255,0.997,0.246,2.38170879711468e-78,"0","Stom"
2.44414901503747e-82,2.22811163970961,1,0.887,6.14190205988765e-78,"0","Calm2"
3.65480827127614e-82,3.19625066310263,0.991,0.165,9.18416770488982e-78,"0","Plekhb1"
4.16111921093597e-82,3.29946258821439,0.936,0.104,1.0456476465161e-77,"0","Cnga2"
4.94572155349551e-82,3.29211120049494,0.967,0.11,1.24281036917789e-77,"0","Ctxn3"
5.64769422610179e-82,3.22634784667854,0.946,0.115,1.41920908207712e-77,"0","Spef2"
1.14537771000719e-81,3.30931730035435,0.962,0.12,2.87821964747707e-77,"0","Jakmip1"
1.25587045880716e-81,2.94466830300843,0.994,0.26,3.15587687593652e-77,"0","Prxl2b"
9.15165799528654e-81,3.22001421435036,0.964,0.124,2.29972013763555e-76,"0","Syt1"
1.11080709814315e-80,2.58183202152024,0.999,0.512,2.79134715692392e-76,"0","Ckb"
4.02136308437073e-80,2.88530192898401,0.999,0.315,1.01052832947152e-75,"0","Nsg1"
4.89139024854544e-80,2.86245249559828,0.994,0.248,1.22915745555698e-75,"0","Ttll7"
6.45863748199635e-80,3.13817386777675,0.977,0.127,1.62299101285086e-75,"0","Clgn"
7.2181440643769e-80,3.28788599016511,0.955,0.112,1.81384742193727e-75,"0","Acbd7"
1.00728907907767e-79,3.43073682392452,0.966,0.116,2.53121672681429e-75,"0","Ric8b"
1.11245822719e-79,2.90372706418774,0.992,0.189,2.79549627910574e-75,"0","Aplp1"
1.65594655534692e-79,2.78419226930972,0.988,0.351,4.16122809893127e-75,"0","Myo6"
2.35570885028337e-79,2.896759703216,0.986,0.18,5.91966076987709e-75,"0","Scn9a"
5.00421760141339e-79,3.29396997366318,0.92,0.107,1.25750984105917e-74,"0","Fgf12"
1.96203514811167e-78,3.17298771235423,0.92,0.124,4.93039812368981e-74,"0","Ak1"
2.11298707572075e-78,3.28687190604212,0.953,0.123,5.30972522257868e-74,"0","Pcolce2"
2.74485158038022e-78,2.49944248782108,0.987,0.26,6.89753753633746e-74,"0","Serpine2"
2.88184791946601e-78,2.51778154244118,0.972,0.371,7.24179563682614e-74,"0","Cmip"
1.07534587501105e-77,3.2270900821115,0.933,0.104,2.70223664931527e-73,"0","Tmem74bos"
2.15203322773175e-77,2.47168358936559,1,0.67,5.40784429796711e-73,"0","Gnb1"
5.52756479715479e-77,3.50972001878248,0.875,0.088,1.38902175787703e-72,"0","Fam81b"
8.27808352519959e-77,2.77382268042775,0.989,0.278,2.08019960904741e-72,"0","Sult1d1"
1.67515630443987e-76,2.65703894661835,1,0.336,4.20950027742694e-72,"0","Fstl5"
4.14954939929408e-76,3.18194873054523,0.917,0.117,1.04274026854861e-71,"0","Cfap69"
2.27014690904552e-75,3.12729789719935,0.931,0.131,5.7046521677405e-71,"0","Tspan7"
2.50532997609942e-75,2.68619599746075,0.999,0.351,6.29564369694022e-71,"0","Atf5"
2.41485371603104e-74,3.331617574771,0.9,0.097,6.0682859030144e-70,"0","Faim2"
1.01274614500439e-73,1.84249125596368,0.999,0.748,2.54492978778153e-69,"0","Aplp2"
1.39405603321514e-73,3.19176255016414,0.816,0.096,3.50312340586632e-69,"0","Rtp1"
1.93974803320689e-73,2.45120388974206,0.998,0.492,4.8743928326456e-69,"0","Tshz2"
2.35896960317171e-73,3.22710540527017,0.867,0.1,5.9278547158102e-69,"0","Acsl6"
2.40322593606458e-73,3.22134927489826,0.87,0.104,6.03906645473667e-69,"0","Gramd1c"
4.29833296121211e-73,2.949227331654,0.891,0.141,1.08012808982299e-68,"0","Pde1c"
1.62883377737359e-72,2.95396961349093,0.863,0.155,4.09309639916209e-68,"0","Ip6k2"
2.34416315741181e-72,2.8074105792687,0.897,0.161,5.89064759826013e-68,"0","Klhl5"
2.98209067581003e-72,3.06912159879779,0.875,0.118,7.49369565924301e-68,"0","Manea"
4.09625739895234e-71,3.40936972272093,0.869,0.085,1.02934852178273e-66,"0","Kcnc4"
5.51293858201593e-71,2.87909276227222,0.969,0.147,1.38534633627478e-66,"0","Flrt1"
1.0270837075093e-70,2.86320124144679,0.897,0.133,2.58095864860013e-66,"0","Trnp1"
2.91001179561434e-70,2.62302969263911,0.956,0.194,7.31256864119928e-66,"0","Igsf8"
9.20090056144122e-70,3.5775762109909,0.779,0.068,2.31209430208456e-65,"0","Slc1a2"
1.23083073108421e-69,3.02837037891447,0.926,0.138,3.09295454414151e-65,"0","Tspyl4"
1.38067344666225e-69,2.61624383846157,0.899,0.213,3.46949430411757e-65,"0","Sgpl1"
