"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.09120564620689e-65,3.75516734822391,0.8,0.069,2.74209066835328e-61,"0","Gm11992"
2.97732005556729e-43,3.7457485878533,0.607,0.049,7.48170756763505e-39,"0","Pth2"
4.00783231383128e-21,3.66047810837977,0.363,0.03,1.00712818214266e-16,"0","Gm6878"
1.92840489213028e-32,3.62273093984913,0.505,0.062,4.84588865343418e-28,"0","Dlg2"
1.38613356146583e-59,3.6065597434144,0.726,0.067,3.48321502660749e-55,"0","A730046J19Rik"
1.33359934742547e-43,8.59463675083761,0.49,0.004,3.35120180014546e-39,"1","Fcrls"
6.9815725540246e-44,7.07937147539731,0.484,0.008,1.75439936710084e-39,"1","Pf4"
5.64061569809905e-98,7.05588262585615,0.911,0.016,1.41743031877531e-93,"1","Ms4a7"
2.08503314105534e-61,6.78203323995467,0.689,0.017,5.23947978015797e-57,"1","Trem2"
3.43403762946382e-46,6.72667047323254,0.541,0.013,8.62939315907962e-42,"1","Mrc1"
1.36912084247264e-24,8.6223067164149,0.342,0.001,3.4404637650495e-20,"10","Car10"
1.68607006756378e-64,7.88563988489171,0.672,0.006,4.23692547278102e-60,"10","Abca4"
1.94317264669613e-82,7.65878699192571,0.817,0.013,4.88299854388269e-78,"10","Nrcam"
4.3080719127865e-67,6.37944185841349,0.635,0.012,1.08257539096412e-62,"10","Vit"
5.52911999715576e-41,6.23566894267706,0.517,0.01,1.38941256408527e-36,"10","Slc47a1"
1.11880576391829e-28,4.39655230439654,0.351,0.026,2.81144700415028e-24,"11","4932412D23Rik"
1.44849278616235e-38,3.78683950157236,0.493,0.032,3.63991752234738e-34,"11","Ly6h"
5.2702905873966e-30,3.51336907570914,0.446,0.046,1.32437132170689e-25,"11","Gm20531"
6.47157271358039e-74,3.41116123441771,0.762,0.053,1.62624150719562e-69,"11","Gap43"
1.22516929879352e-27,3.21277076454151,0.387,0.05,3.07872793093823e-23,"11","Mbl2"
1.6417419449057e-28,9.9605922052911,0.334,0.001,4.12553333335354e-24,"12","Dpep1"
1.76238927997701e-25,9.74083689846513,0.348,0.001,4.42870802165423e-21,"12","Dpt"
2.2239174101297e-26,9.62722726658298,0.32,0.001,5.58848205991493e-22,"12","Hhip"
8.82596752212382e-70,9.37662562176886,0.738,0.004,2.21787737863449e-65,"12","Mfap4"
