"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"S100a9",15041.1449907489,1.30014503023557,0.0827915840321218,15.7038308354039,1.42378376481584e-55,5.28223776746678e-52
"Slpi",248.577508130879,2.74325642947221,0.195059410142879,14.0636969396288,6.34813883411144e-45,1.17757975372767e-41
"Tnfaip2",801.722957973861,1.76483274863407,0.134138037562453,13.156840376559,1.55451771261049e-39,1.9224202379283e-36
"Gm42418",2808.45726783793,1.26719136682233,0.0975460556724926,12.9906981690462,1.38160909248254e-38,1.28144243327755e-35
"Plek",482.087934964723,1.52287001097446,0.120749828538756,12.6117778335866,1.81844116925748e-36,1.34928334758905e-33
"Ccl6",227.029054691199,2.38166967350332,0.225561367370535,10.5588545648019,4.62268033687289e-26,2.85835734163307e-23
"S100a6",797.634980677172,1.40748922259292,0.139758927010557,10.0708359222492,7.43435067574192e-24,3.94020585814322e-21
"Ngp",167.527040830097,2.39747775213533,0.241350719799516,9.93358442902865,2.97369474716931e-23,1.37905093899977e-20
"Obp1a",194.598290427091,1.77657283224092,0.182408078872186,9.73955124808795,2.04455220197964e-22,8.42809852149386e-20
"S100a8",11051.0159598003,0.96248521144665,0.100033403204368,9.62163817900205,6.47909499873966e-22,2.40374424453241e-19
"Mmp8",91.6164944941863,2.85009536899884,0.304322015382261,9.36539331674317,7.57675633976724e-21,2.55543327459422e-18
"Cd44",161.942686585385,1.70387813498637,0.202463370488686,8.41573530497746,3.90438024465669e-17,1.20710422563969e-14
"Map1lc3a",47.1217524793066,-2.97382503777569,0.355615145103474,-8.36248140362635,6.14126678726318e-17,1.75262306005741e-14
"Btg1",1166.72028635946,0.751096250781056,0.0906430848823601,8.28630503646093,1.16820941678619e-16,3.0957549544834e-14
"Rplp1",591.050936799767,-0.865190225499366,0.104668937208107,-8.26596933700741,1.38564168610389e-16,3.42715377029697e-14
"Mgst3",41.5945989718256,-3.20709204584995,0.388842981348401,-8.24778175172053,1.61361718937235e-16,3.74157485785714e-14
"Ttll7",50.5620787876192,-2.76704192543382,0.33583033602679,-8.23940433187396,1.73070132409504e-16,3.77700112493682e-14
"Hmgn3",47.1275819815235,-2.87573836888901,0.355777353763738,-8.08297194429839,6.32071687699492e-16,1.30276997853618e-13
"Pcp4l1",40.330395070665,-3.19077585033229,0.396272807677804,-8.05196770636507,8.14734070780772e-16,1.59087547505088e-13
"Serpine2",51.2920530700906,-2.59086648303294,0.328846942480701,-7.87863941652731,3.30965076467019e-15,5.84704968425067e-13
"Rps11",438.313113900149,-1.03339993855939,0.131100344591126,-7.88251123048036,3.20866166239151e-15,5.84704968425067e-13
"Aplp1",33.7841939941689,-3.60870473478452,0.464130752204636,-7.7751898956125,7.53343096541246e-15,1.27041040371274e-12
"Mxd1",346.418054481103,1.27682943671534,0.165094138185899,7.73394773882043,1.04261848527843e-14,1.68178894799259e-12
"Rtn1",55.1956219521104,-2.41347530561877,0.313849846810646,-7.68990436077824,1.47245052830688e-14,2.27616310834105e-12
"Rpl11",468.115879687794,-0.94295102136336,0.124041404574571,-7.60190538471757,2.91802053253072e-14,4.33034247027559e-12
"Rps15a",365.844800784526,-0.945304441087263,0.12449466892674,-7.59313189260768,3.12264410262637e-14,4.45577293105533e-12
"Samsn1",192.987507561737,1.38734959705242,0.18463587428946,7.51397637317991,5.73579407071967e-14,7.8814059268037e-12
"Rps19",372.397919306889,-1.06483367108411,0.141928674281333,-7.50259717760332,6.25655979556733e-14,8.28994172912672e-12
"Dynll2",36.2724974911304,-3.10860734347725,0.415205558715505,-7.48691167115909,7.05131222286757e-14,9.02081667132368e-12
"Rps18",305.30988020233,-1.06060336149553,0.142441390415124,-7.44589306805108,9.62907786170307e-14,1.19079596223061e-11
"Rpl26",457.169031802102,-1.04199968588485,0.140562914321808,-7.41304839126538,1.23428822170922e-13,1.47716429114232e-11
"Prrc2b",41.1565224826681,-2.67399847183035,0.365300937037413,-7.31998798994728,2.47993149616052e-13,2.78804419719864e-11
"Nme2",125.078284573798,-1.57311835999324,0.214825621545972,-7.3227688051008,2.42906089936188e-13,2.78804419719864e-11
"Ncam1",59.1750019512199,-2.15420684594295,0.294473626662085,-7.31544916385652,2.56521881562761e-13,2.79910641352306e-11
"Cox8a",550.263046438164,-0.827168066103146,0.113672225386185,-7.27678254994098,3.41875647812393e-13,3.62388186681137e-11
"Cyb5a",53.4916118227291,-2.26818484779854,0.312845386130006,-7.25017835761199,4.16223166512281e-13,4.28941096600156e-11
"Ndufb5",75.7261277647405,-2.07677898388815,0.289252416391957,-7.17981550437237,6.98055542098816e-13,6.99942178699083e-11
"Sell",58.0285801732001,2.64116438326258,0.368863691635542,7.16027205483862,8.05171088592949e-13,7.86101247021011e-11
"Rplp0",370.261714614423,-0.999086183797053,0.139691066179066,-7.15211223684381,8.54526524427081e-13,8.12895745031916e-11
"Selenof",116.358899297996,-1.5590660578167,0.218759347241633,-7.12685458918751,1.02688474251589e-12,9.52435598683487e-11
"Cstdc4",138.230634803298,1.78896012671282,0.251167720989698,7.12257180048306,1.05931536462723e-12,9.58551220187082e-11
"Plekhb1",27.5235097286436,-3.77639864412144,0.532165042740894,-7.09629220414639,1.28148386567502e-12,1.1319774146796e-10
"Scn9a",29.1132502047937,-3.55844343328389,0.502101050453893,-7.0871061314592,1.36945361723794e-12,1.13908443305917e-10
"Prxl2b",55.8221686487703,-2.16983797370733,0.306219988452854,-7.08587961442432,1.38163880020654e-12,1.13908443305917e-10
